user_id,role_id
MF168,S4_PP_SUPERVISOR
MF169,S4_MES_OPERATOR
MF170,S4_PP_SUPERVISOR
MF171,S4_PP_SUPERVISOR
MF172,S4_MES_OPERATOR
MF173,S4_PP_PLANNER
MF174,S4_PP_PLANNER
MF175,S4_MES_OPERATOR
MF176,S4_MES_OPERATOR
MF177,S4_MES_OPERATOR
MF178,S4_MES_OPERATOR
MF179,S4_MES_OPERATOR
MF180,S4_MES_OPERATOR
MF181,S4_PP_SUPERVISOR
MF182,S4_PP_PLANNER
MF183,S4_PP_SUPERVISOR
MF184,S4_MES_OPERATOR
MF185,S4_PP_PLANNER
MF186,S4_PP_PLANNER
MF187,S4_PP_SUPERVISOR
MF188,S4_PP_SUPERVISOR
MF189,S4_MES_OPERATOR
MF190,S4_PP_SUPERVISOR
MF191,S4_PP_SUPERVISOR
MF192,S4_MES_OPERATOR
MF193,S4_PP_PLANNER
MF194,S4_PP_PLANNER
MF195,S4_MES_OPERATOR
MF196,S4_MES_OPERATOR
MF197,S4_MES_OPERATOR
MF198,S4_MES_OPERATOR
MF199,S4_MES_OPERATOR
MF200,S4_MES_OPERATOR
MF201,S4_PP_SUPERVISOR
MF202,S4_PP_PLANNER
MF203,S4_PP_SUPERVISOR
MF204,S4_MES_OPERATOR
MF205,S4_PP_PLANNER
MF206,S4_PP_PLANNER
MF207,S4_PP_SUPERVISOR
MF208,S4_PP_SUPERVISOR
MF209,S4_MES_OPERATOR
MF210,S4_PP_SUPERVISOR
MF211,S4_PP_SUPERVISOR
MF212,S4_MES_OPERATOR
MF213,S4_PP_PLANNER
MF214,S4_PP_PLANNER
MF215,S4_MES_OPERATOR
MF216,S4_MES_OPERATOR
MF217,S4_MES_OPERATOR
MF218,S4_MES_OPERATOR
MF219,S4_MES_OPERATOR
MF220,S4_MES_OPERATOR
MF221,S4_PP_SUPERVISOR
MF222,S4_PP_PLANNER
MF223,S4_PP_SUPERVISOR
MF224,S4_MES_OPERATOR
MF225,S4_PP_PLANNER
MF226,S4_PP_PLANNER
MF227,S4_PP_SUPERVISOR
MF228,S4_PP_SUPERVISOR
MF229,S4_MES_OPERATOR
MF230,S4_PP_SUPERVISOR
MF231,S4_PP_SUPERVISOR
MF232,S4_MES_OPERATOR
MF233,S4_PP_PLANNER
MF234,S4_PP_PLANNER
MF235,S4_MES_OPERATOR
MF236,S4_MES_OPERATOR
MF237,S4_MES_OPERATOR
MF238,S4_MES_OPERATOR
MF239,S4_MES_OPERATOR
MF240,S4_MES_OPERATOR
MF241,S4_PP_SUPERVISOR
MF242,S4_PP_PLANNER
MF243,S4_PP_SUPERVISOR
MF244,S4_MES_OPERATOR
MF245,S4_PP_PLANNER
MF246,S4_PP_PLANNER
MF247,S4_PP_SUPERVISOR
MF248,S4_PP_SUPERVISOR
MF249,S4_MES_OPERATOR
MF250,S4_PP_SUPERVISOR
MF251,S4_PP_SUPERVISOR
MF252,S4_MES_OPERATOR
MF253,S4_PP_PLANNER
MF254,S4_PP_PLANNER
MF255,S4_MES_OPERATOR
MF256,S4_MES_OPERATOR
MF257,S4_MES_OPERATOR
MF258,S4_MES_OPERATOR
MF259,S4_MES_OPERATOR
MF260,S4_MES_OPERATOR
MF261,S4_PP_SUPERVISOR
MF262,S4_PP_PLANNER
MF263,S4_PP_SUPERVISOR
MF264,S4_MES_OPERATOR
MF265,S4_PP_PLANNER
MF266,S4_PP_PLANNER
MF267,S4_PP_SUPERVISOR
MF268,S4_PP_SUPERVISOR
MF269,S4_MES_OPERATOR
MF270,S4_PP_SUPERVISOR
MF271,S4_PP_SUPERVISOR
MF272,S4_MES_OPERATOR
MF273,S4_PP_PLANNER
MF274,S4_PP_PLANNER
MF275,S4_MES_OPERATOR
MF276,S4_MES_OPERATOR
MF277,S4_MES_OPERATOR
MF278,S4_MES_OPERATOR
MF279,S4_MES_OPERATOR
MF280,S4_MES_OPERATOR
MF281,S4_PP_SUPERVISOR
MF282,S4_PP_PLANNER
MF283,S4_PP_SUPERVISOR
MF284,S4_MES_OPERATOR
MF285,S4_PP_PLANNER
MF286,S4_PP_PLANNER
MF287,S4_PP_SUPERVISOR
MF288,S4_PP_SUPERVISOR
MF289,S4_MES_OPERATOR
MF290,S4_PP_SUPERVISOR
MF291,S4_PP_SUPERVISOR
MF292,S4_MES_OPERATOR
MF293,S4_PP_PLANNER
MF294,S4_PP_PLANNER
MF295,S4_MES_OPERATOR
MF296,S4_MES_OPERATOR
MF297,S4_MES_OPERATOR
MF298,S4_MES_OPERATOR
MF299,S4_MES_OPERATOR
MF300,S4_MES_OPERATOR
MF301,S4_PP_SUPERVISOR
MF302,S4_PP_PLANNER
MF303,S4_PP_SUPERVISOR
MF304,S4_MES_OPERATOR
MF305,S4_PP_PLANNER
MF306,S4_PP_PLANNER
MF307,S4_PP_SUPERVISOR
MF308,S4_PP_SUPERVISOR
MF309,S4_MES_OPERATOR
MF310,S4_PP_SUPERVISOR
MF311,S4_PP_SUPERVISOR
MF312,S4_MES_OPERATOR
MF313,S4_PP_PLANNER
MF314,S4_PP_PLANNER
MF315,S4_MES_OPERATOR
MF316,S4_MES_OPERATOR
MF317,S4_MES_OPERATOR
MF318,S4_MES_OPERATOR
MF319,S4_MES_OPERATOR
MF320,S4_MES_OPERATOR
MF321,S4_QM_MANAGER
MF321,S4_QM_AUDITOR
MF322,S4_QM_INSPECTOR
MF323,S4_QM_INSPECTOR
MF323,S4_QM_MANAGER
MF324,S4_QM_INSPECTOR
MF325,S4_QM_INSPECTOR
MF326,S4_QM_AUDITOR
MF327,S4_QM_INSPECTOR
MF328,S4_QM_INSPECTOR
MF329,S4_QM_INSPECTOR
MF330,S4_QM_INSPECTOR
MF331,S4_QM_INSPECTOR
MF331,S4_QM_MANAGER
MF332,S4_QM_INSPECTOR
MF333,S4_QM_MANAGER
MF333,S4_QM_AUDITOR
MF334,S4_QM_INSPECTOR
MF335,S4_QM_INSPECTOR
MF335,S4_QM_MANAGER
MF336,S4_QM_INSPECTOR
MF337,S4_QM_INSPECTOR
MF338,S4_QM_AUDITOR
MF339,S4_QM_INSPECTOR
MF340,S4_QM_INSPECTOR
MF341,S4_QM_INSPECTOR
MF342,S4_QM_INSPECTOR
MF343,S4_QM_INSPECTOR
MF343,S4_QM_MANAGER
MF344,S4_QM_INSPECTOR
MF345,S4_QM_MANAGER
MF345,S4_QM_AUDITOR
MF346,S4_QM_INSPECTOR
MF347,S4_QM_INSPECTOR
MF347,S4_QM_MANAGER
MF348,S4_QM_INSPECTOR
MF349,S4_QM_INSPECTOR
MF350,S4_QM_AUDITOR
MF351,S4_QM_INSPECTOR
MF352,S4_QM_INSPECTOR
MF353,S4_QM_INSPECTOR
MF354,S4_QM_INSPECTOR
MF355,S4_QM_INSPECTOR
MF355,S4_QM_MANAGER
MF356,S4_QM_INSPECTOR
MF357,S4_QM_MANAGER
MF357,S4_QM_AUDITOR
MF358,S4_QM_INSPECTOR
MF359,S4_QM_INSPECTOR
MF359,S4_QM_MANAGER
MF360,S4_QM_INSPECTOR
MF361,S4_QM_INSPECTOR
MF362,S4_QM_AUDITOR
MF363,S4_QM_INSPECTOR
MF364,S4_QM_INSPECTOR
MF365,S4_QM_INSPECTOR
MF366,S4_QM_INSPECTOR
MF367,S4_QM_INSPECTOR
MF367,S4_QM_MANAGER
MF368,S4_QM_INSPECTOR
MF369,S4_QM_MANAGER
MF369,S4_QM_AUDITOR
MF370,S4_QM_INSPECTOR
MF371,S4_QM_INSPECTOR
MF371,S4_QM_MANAGER
MF372,S4_QM_INSPECTOR
MF373,S4_QM_INSPECTOR
MF374,S4_QM_AUDITOR
MF375,S4_QM_INSPECTOR
MF376,S4_QM_INSPECTOR
MF377,S4_QM_INSPECTOR
MF378,S4_QM_INSPECTOR
MF379,S4_QM_INSPECTOR
MF379,S4_QM_MANAGER
MF380,S4_QM_INSPECTOR
MF381,S4_QM_MANAGER
MF381,S4_QM_AUDITOR
MF382,S4_QM_INSPECTOR
MF383,S4_QM_INSPECTOR
MF383,S4_QM_MANAGER
MF384,S4_QM_INSPECTOR
MF385,S4_QM_INSPECTOR
MF386,S4_QM_AUDITOR
MF387,S4_QM_INSPECTOR
MF388,S4_QM_INSPECTOR
MF389,S4_QM_INSPECTOR
MF390,S4_QM_INSPECTOR
MF391,S4_QM_INSPECTOR
MF391,S4_QM_MANAGER
MF392,S4_QM_INSPECTOR
MF393,S4_QM_MANAGER
MF393,S4_QM_AUDITOR
MF394,S4_QM_INSPECTOR
MF395,S4_QM_INSPECTOR
MF395,S4_QM_MANAGER
MF396,S4_QM_INSPECTOR
MF397,S4_QM_INSPECTOR
MF398,S4_QM_AUDITOR
MF399,S4_QM_INSPECTOR
MF400,S4_QM_INSPECTOR
MF401,S4_QM_INSPECTOR
MF402,S4_QM_INSPECTOR
MF403,S4_QM_INSPECTOR
MF403,S4_QM_MANAGER
MF404,S4_QM_INSPECTOR
MF405,S4_QM_MANAGER
MF405,S4_QM_AUDITOR
MF406,S4_QM_INSPECTOR
MF407,S4_QM_INSPECTOR
MF407,S4_QM_MANAGER
MF408,S4_QM_INSPECTOR
MF409,S4_QM_INSPECTOR
MF410,S4_QM_AUDITOR
MF411,S4_PM_PLANNER
MF411,S4_PM_ENGINEER
MF412,S4_PM_PLANNER
MF413,S4_PM_TECHNICIAN
MF414,S4_PM_PLANNER
MF414,S4_PM_ENGINEER
MF415,S4_PM_PLANNER
MF416,S4_PM_PLANNER
MF417,S4_PM_TECHNICIAN
MF418,S4_PM_TECHNICIAN
MF419,S4_PM_TECHNICIAN
MF420,S4_PM_TECHNICIAN
MF421,S4_PM_TECHNICIAN
MF422,S4_PM_PLANNER
MF422,S4_PM_ENGINEER
MF423,S4_PM_PLANNER
MF423,S4_PM_ENGINEER
MF424,S4_PM_PLANNER
MF425,S4_PM_TECHNICIAN
MF426,S4_PM_PLANNER
MF426,S4_PM_ENGINEER
MF427,S4_PM_PLANNER
MF428,S4_PM_PLANNER
MF429,S4_PM_TECHNICIAN
MF430,S4_PM_TECHNICIAN
MF431,S4_PM_TECHNICIAN
MF432,S4_PM_TECHNICIAN
MF433,S4_PM_TECHNICIAN
MF434,S4_PM_PLANNER
MF434,S4_PM_ENGINEER
MF435,S4_PM_PLANNER
MF435,S4_PM_ENGINEER
MF436,S4_PM_PLANNER
MF437,S4_PM_TECHNICIAN
MF438,S4_PM_PLANNER
MF438,S4_PM_ENGINEER
MF439,S4_PM_PLANNER
MF440,S4_PM_PLANNER
MF441,S4_PM_TECHNICIAN
MF442,S4_PM_TECHNICIAN
MF443,S4_PM_TECHNICIAN
MF444,S4_PM_TECHNICIAN
MF445,S4_PM_TECHNICIAN
MF446,S4_PM_PLANNER
MF446,S4_PM_ENGINEER
MF447,S4_PM_PLANNER
MF447,S4_PM_ENGINEER
MF448,S4_PM_PLANNER
MF449,S4_PM_TECHNICIAN
MF450,S4_PM_PLANNER
MF450,S4_PM_ENGINEER
MF451,S4_PM_PLANNER
MF452,S4_PM_PLANNER
MF453,S4_PM_TECHNICIAN
MF454,S4_PM_TECHNICIAN
MF455,S4_PM_TECHNICIAN
MF456,S4_PM_TECHNICIAN
MF457,S4_PM_TECHNICIAN
MF458,S4_PM_PLANNER
MF458,S4_PM_ENGINEER
MF459,S4_PM_PLANNER
MF459,S4_PM_ENGINEER
MF460,S4_PM_PLANNER
MF461,S4_PM_TECHNICIAN
MF462,S4_PM_PLANNER
MF462,S4_PM_ENGINEER
MF463,S4_PM_PLANNER
MF464,S4_PM_PLANNER
MF465,S4_PM_TECHNICIAN
MF466,S4_PM_TECHNICIAN
MF467,S4_PM_TECHNICIAN
MF468,S4_PM_TECHNICIAN
MF469,S4_PM_TECHNICIAN
MF470,S4_PM_PLANNER
MF470,S4_PM_ENGINEER
MF471,S4_PM_PLANNER
MF471,S4_PM_ENGINEER
MF472,S4_PM_PLANNER
MF473,S4_PM_TECHNICIAN
MF474,S4_PM_PLANNER
MF474,S4_PM_ENGINEER
MF475,S4_PM_PLANNER
MF476,S4_PM_PLANNER
MF477,S4_PM_TECHNICIAN
MF478,S4_PM_TECHNICIAN
MF479,S4_PM_TECHNICIAN
MF480,S4_PM_TECHNICIAN
MF481,S4_PM_TECHNICIAN
MF482,S4_PM_PLANNER
MF482,S4_PM_ENGINEER
MF483,S4_PM_PLANNER
MF483,S4_PM_ENGINEER
MF484,S4_PM_PLANNER
MF485,S4_PM_TECHNICIAN
MF486,S4_PM_PLANNER
MF486,S4_PM_ENGINEER
MF487,S4_PM_PLANNER
MF488,S4_PM_PLANNER
MF489,S4_PM_TECHNICIAN
MF490,S4_PM_TECHNICIAN
MF491,S4_PM_TECHNICIAN
MF492,S4_PM_TECHNICIAN
MF493,S4_PM_TECHNICIAN
MF494,S4_PM_PLANNER
MF494,S4_PM_ENGINEER
MF495,S4_PM_PLANNER
MF495,S4_PM_ENGINEER
MF496,S4_PM_PLANNER
MF497,S4_PM_TECHNICIAN
MF498,S4_PM_PLANNER
MF498,S4_PM_ENGINEER
MF499,S4_PM_PLANNER
MF500,S4_PM_PLANNER
MF501,S4_MM_PURCHASER
MF501,S4_PP_PLANNER
MF502,S4_MM_PURCHASER
MF503,S4_MM_PURCHASER
MF504,S4_MM_PURCHASER
MF505,S4_MM_PURCHASER
MF506,S4_MM_PURCHASER
MF507,S4_SD_SHIPPING
MF507,S4_MM_HANDLER
MF508,S4_MM_PURCHASER
MF509,S4_MM_PURCHASER
MF509,S4_FI_AP
MF510,S4_MM_PURCHASER
MF510,S4_FI_AP
MF511,S4_MM_PURCHASER
MF512,S4_MM_PURCHASER
MF513,S4_MM_PURCHASER
MF513,S4_PP_PLANNER
MF514,S4_MM_PURCHASER
MF515,S4_MM_PURCHASER
MF516,S4_MM_PURCHASER
MF517,S4_MM_PURCHASER
MF518,S4_MM_PURCHASER
MF519,S4_SD_SHIPPING
MF519,S4_MM_HANDLER
MF520,S4_MM_PURCHASER
MF521,S4_MM_PURCHASER
MF521,S4_FI_AP
MF522,S4_MM_PURCHASER
MF522,S4_FI_AP
MF523,S4_MM_PURCHASER
MF524,S4_MM_PURCHASER
MF525,S4_MM_PURCHASER
MF525,S4_PP_PLANNER
MF526,S4_MM_PURCHASER
MF527,S4_MM_PURCHASER
MF528,S4_MM_PURCHASER
MF529,S4_MM_PURCHASER
MF530,S4_MM_PURCHASER
MF531,S4_SD_SHIPPING
MF531,S4_MM_HANDLER
MF532,S4_MM_PURCHASER
MF533,S4_MM_PURCHASER
MF533,S4_FI_AP
MF534,S4_MM_PURCHASER
MF534,S4_FI_AP
MF535,S4_MM_PURCHASER
MF536,S4_MM_PURCHASER
MF537,S4_MM_PURCHASER
MF537,S4_PP_PLANNER
MF538,S4_MM_PURCHASER
MF539,S4_MM_PURCHASER
MF540,S4_MM_PURCHASER
MF541,S4_MM_PURCHASER
MF542,S4_MM_PURCHASER
MF543,S4_SD_SHIPPING
MF543,S4_MM_HANDLER
MF544,S4_MM_PURCHASER
MF545,S4_MM_PURCHASER
MF545,S4_FI_AP
MF546,S4_MM_PURCHASER
MF546,S4_FI_AP
MF547,S4_MM_PURCHASER
MF548,S4_MM_PURCHASER
MF549,S4_MM_PURCHASER
MF549,S4_PP_PLANNER
MF550,S4_MM_PURCHASER
MF551,S4_MM_PURCHASER
MF552,S4_MM_PURCHASER
MF553,S4_MM_PURCHASER
MF554,S4_MM_PURCHASER
MF555,S4_SD_SHIPPING
MF555,S4_MM_HANDLER
MF556,S4_MM_PURCHASER
MF557,S4_MM_PURCHASER
MF557,S4_FI_AP
MF558,S4_MM_PURCHASER
MF558,S4_FI_AP
MF559,S4_MM_PURCHASER
MF560,S4_MM_PURCHASER
MF561,S4_MM_PURCHASER
MF561,S4_PP_PLANNER
MF562,S4_MM_PURCHASER
MF563,S4_MM_PURCHASER
MF564,S4_MM_PURCHASER
MF565,S4_MM_PURCHASER
MF566,S4_MM_PURCHASER
MF567,S4_SD_SHIPPING
MF567,S4_MM_HANDLER
MF568,S4_MM_PURCHASER
MF569,S4_MM_PURCHASER
MF569,S4_FI_AP
MF570,S4_MM_PURCHASER
MF570,S4_FI_AP
MF571,S4_MM_PURCHASER
MF572,S4_MM_PURCHASER
MF573,S4_MM_PURCHASER
MF573,S4_PP_PLANNER
MF574,S4_MM_PURCHASER
MF575,S4_MM_PURCHASER
MF576,S4_MM_PURCHASER
MF577,S4_MM_PURCHASER
MF578,S4_MM_PURCHASER
MF579,S4_SD_SHIPPING
MF579,S4_MM_HANDLER
MF580,S4_MM_PURCHASER
MF581,S4_MM_PURCHASER
MF581,S4_FI_AP
MF582,S4_MM_PURCHASER
MF582,S4_FI_AP
MF583,S4_MM_PURCHASER
MF584,S4_MM_PURCHASER
MF585,S4_MM_PURCHASER
MF585,S4_PP_PLANNER
MF586,S4_MM_PURCHASER
MF587,S4_MM_PURCHASER
MF588,S4_MM_PURCHASER
MF589,S4_MM_PURCHASER
MF590,S4_MM_PURCHASER
MF591,S4_MM_WAREHOUSE
MF591,S4_MM_INVENTORY
MF592,S4_MM_WAREHOUSE
MF593,S4_MM_HANDLER
MF594,S4_MM_INVENTORY
MF594,S4_MM_HANDLER
MF595,S4_MM_HANDLER
MF596,S4_SD_SHIPPING
MF596,S4_MM_HANDLER
MF597,S4_MM_HANDLER
MF598,S4_MM_INVENTORY
MF598,S4_MM_HANDLER
MF599,S4_MM_HANDLER
MF600,S4_MM_INVENTORY
MF600,S4_MM_HANDLER
MF601,S4_MM_WAREHOUSE
MF602,S4_MM_HANDLER
MF603,S4_MM_WAREHOUSE
MF603,S4_MM_INVENTORY
MF604,S4_MM_WAREHOUSE
MF605,S4_MM_HANDLER
MF606,S4_MM_INVENTORY
MF606,S4_MM_HANDLER
MF607,S4_MM_HANDLER
MF608,S4_SD_SHIPPING
MF608,S4_MM_HANDLER
MF609,S4_MM_HANDLER
MF610,S4_MM_INVENTORY
MF610,S4_MM_HANDLER
MF611,S4_MM_HANDLER
MF612,S4_MM_INVENTORY
MF612,S4_MM_HANDLER
MF613,S4_MM_WAREHOUSE
MF614,S4_MM_HANDLER
MF615,S4_MM_WAREHOUSE
MF615,S4_MM_INVENTORY
MF616,S4_MM_WAREHOUSE
MF617,S4_MM_HANDLER
MF618,S4_MM_INVENTORY
MF618,S4_MM_HANDLER
MF619,S4_MM_HANDLER
MF620,S4_SD_SHIPPING
MF620,S4_MM_HANDLER
MF621,S4_MM_HANDLER
MF622,S4_MM_INVENTORY
MF622,S4_MM_HANDLER
MF623,S4_MM_HANDLER
MF624,S4_MM_INVENTORY
MF624,S4_MM_HANDLER
MF625,S4_MM_WAREHOUSE
MF626,S4_MM_HANDLER
MF627,S4_MM_WAREHOUSE
MF627,S4_MM_INVENTORY
MF628,S4_MM_WAREHOUSE
MF629,S4_MM_HANDLER
MF630,S4_MM_INVENTORY
MF630,S4_MM_HANDLER
MF631,S4_MM_HANDLER
MF632,S4_SD_SHIPPING
MF632,S4_MM_HANDLER
MF633,S4_MM_HANDLER
MF634,S4_MM_INVENTORY
MF634,S4_MM_HANDLER
MF635,S4_MM_HANDLER
MF636,S4_MM_INVENTORY
MF636,S4_MM_HANDLER
MF637,S4_MM_WAREHOUSE
MF638,S4_MM_HANDLER
MF639,S4_MM_WAREHOUSE
MF639,S4_MM_INVENTORY
MF640,S4_MM_WAREHOUSE
MF641,S4_MM_HANDLER
MF642,S4_MM_INVENTORY
MF642,S4_MM_HANDLER
MF643,S4_MM_HANDLER
MF644,S4_SD_SHIPPING
MF644,S4_MM_HANDLER
MF645,S4_MM_HANDLER
MF646,S4_MM_INVENTORY
MF646,S4_MM_HANDLER
MF647,S4_MM_HANDLER
MF648,S4_MM_INVENTORY
MF648,S4_MM_HANDLER
MF649,S4_MM_WAREHOUSE
MF650,S4_MM_HANDLER
MF651,S4_MM_WAREHOUSE
MF651,S4_MM_INVENTORY
MF652,S4_MM_WAREHOUSE
MF653,S4_MM_HANDLER
MF654,S4_MM_INVENTORY
MF654,S4_MM_HANDLER
MF655,S4_MM_HANDLER
MF656,S4_SD_SHIPPING
MF656,S4_MM_HANDLER
MF657,S4_MM_HANDLER
MF658,S4_MM_INVENTORY
MF658,S4_MM_HANDLER
MF659,S4_MM_HANDLER
MF660,S4_MM_INVENTORY
MF660,S4_MM_HANDLER
MF661,S4_MM_WAREHOUSE
MF662,S4_MM_HANDLER
MF663,S4_MM_WAREHOUSE
MF663,S4_MM_INVENTORY
MF664,S4_MM_WAREHOUSE
MF665,S4_MM_HANDLER
MF666,S4_MM_INVENTORY
MF666,S4_MM_HANDLER
MF667,S4_MM_HANDLER
MF668,S4_SD_SHIPPING
MF668,S4_MM_HANDLER
MF669,S4_MM_HANDLER
MF670,S4_MM_INVENTORY
MF670,S4_MM_HANDLER
MF671,S4_MM_HANDLER
MF672,S4_MM_INVENTORY
MF672,S4_MM_HANDLER
MF673,S4_MM_WAREHOUSE
MF674,S4_MM_HANDLER
MF675,S4_MM_WAREHOUSE
MF675,S4_MM_INVENTORY
MF676,S4_MM_WAREHOUSE
MF677,S4_MM_HANDLER
MF678,S4_MM_INVENTORY
MF678,S4_MM_HANDLER
MF679,S4_MM_HANDLER
MF680,S4_SD_SHIPPING
MF680,S4_MM_HANDLER
MF681,S4_MM_HANDLER
MF682,S4_MM_INVENTORY
MF682,S4_MM_HANDLER
MF683,S4_MM_HANDLER
MF684,S4_MM_INVENTORY
MF684,S4_MM_HANDLER
MF685,S4_MM_WAREHOUSE
MF686,S4_MM_HANDLER
MF687,S4_MM_WAREHOUSE
MF687,S4_MM_INVENTORY
MF688,S4_MM_WAREHOUSE
MF689,S4_MM_HANDLER
MF690,S4_MM_INVENTORY
MF690,S4_MM_HANDLER
MF691,S4_MM_HANDLER
MF692,S4_SD_SHIPPING
MF692,S4_MM_HANDLER
MF693,S4_MM_HANDLER
